Date,total,returns
2022-08-15,9605953.056242606,0.0
2022-08-16,9605953.056242606,0.0
2022-08-17,9605953.056242606,0.0
2022-08-18,9605953.056242606,0.0
2022-08-19,9605953.056242606,0.0
2022-08-20,9605953.056242606,0.0
2022-08-21,9605953.056242606,0.0
2022-08-22,9605953.056242606,0.0
2022-08-23,9605953.056242606,0.0
2022-08-24,9605953.056242606,0.0
2022-08-25,9605953.056242606,0.0
2022-08-26,9605953.056242606,0.0
2022-08-27,9605953.056242606,0.0
2022-08-28,9605953.056242606,0.0
2022-08-29,9605953.056242606,0.0
2022-08-30,9605953.056242606,0.0
2022-08-31,9605953.056242606,0.0
2022-09-01,9605953.056242606,0.0
2022-09-02,9605953.056242606,0.0
2022-09-03,9605953.056242606,0.0
2022-09-04,9605953.056242606,0.0
2022-09-05,9605953.056242606,0.0
2022-09-06,9605953.056242606,0.0
2022-09-07,9605953.056242606,0.0
2022-09-08,9605953.056242606,0.0
2022-09-09,9605953.056242606,0.0
2022-09-10,9605953.056242606,0.0
2022-09-11,9605953.056242606,0.0
2022-09-12,9605953.056242606,0.0
2022-09-13,9605953.056242606,0.0
2022-09-14,9605953.056242606,0.0
2022-09-15,9605953.056242606,0.0
2022-09-16,9605953.056242606,0.0
2022-09-17,9605953.056242606,0.0
2022-09-18,9605953.056242606,0.0
2022-09-19,9605953.056242606,0.0
2022-09-20,9605953.056242606,0.0
2022-09-21,9605953.056242606,0.0
2022-09-22,9605953.056242606,0.0
2022-09-23,9605953.056242606,0.0
2022-09-24,9605953.056242606,0.0
2022-09-25,9605953.056242606,0.0
2022-09-26,9605953.056242606,0.0
2022-09-27,9605953.056242606,0.0
2022-09-28,9605953.056242606,0.0
2022-09-29,9605953.056242606,0.0
2022-09-30,9605953.056242606,0.0
2022-10-01,9605953.056242606,0.0
2022-10-02,9605953.056242606,0.0
2022-10-03,9605953.056242606,0.0
2022-10-04,9605953.056242606,0.0
2022-10-05,9605953.056242606,0.0
2022-10-06,9605953.056242606,0.0
2022-10-07,9605953.056242606,0.0
2022-10-08,9605953.056242606,0.0
2022-10-09,9605953.056242606,0.0
2022-10-10,9605953.056242606,0.0
2022-10-11,9605953.056242606,0.0
2022-10-12,9605953.056242606,0.0
2022-10-13,9605953.056242606,0.0
2022-10-14,9605953.056242606,0.0
2022-10-15,9605953.056242606,0.0
2022-10-16,9605953.056242606,0.0
2022-10-17,9605953.056242606,0.0
2022-10-18,9605953.056242606,0.0
2022-10-19,9605953.056242606,0.0
2022-10-20,9605953.056242606,0.0
2022-10-21,9605953.056242606,0.0
2022-10-22,9605953.056242606,0.0
2022-10-23,9605953.056242606,0.0
2022-10-24,9605953.056242606,0.0
2022-10-25,9605953.056242606,0.0
2022-10-26,9605953.056242606,0.0
2022-10-27,9605953.056242606,0.0
2022-10-28,9605953.056242606,0.0
2022-10-29,9605953.056242606,0.0
2022-10-30,9605953.056242606,0.0
2022-10-31,9605953.056242606,0.0
2022-11-01,9605953.056242606,0.0
2022-11-02,9605953.056242606,0.0
2022-11-03,9605953.056242606,0.0
2022-11-04,9605953.056242606,0.0
2022-11-05,9605953.056242606,0.0
2022-11-06,9605953.056242606,0.0
2022-11-07,9605953.056242606,0.0
2022-11-08,9605953.056242606,0.0
2022-11-09,9605953.056242606,0.0
2022-11-10,9605953.056242606,0.0
2022-11-11,9605953.056242606,0.0
2022-11-12,9605953.056242606,0.0
2022-11-13,9605953.056242606,0.0
2022-11-14,9605953.056242606,0.0
2022-11-15,9605953.056242606,0.0
2022-11-16,9605953.056242606,0.0
2022-11-17,9605953.056242606,0.0
2022-11-18,9605953.056242606,0.0
2022-11-19,9605953.056242606,0.0
2022-11-20,9605953.056242606,0.0
2022-11-21,9605953.056242606,0.0
2022-11-22,9605953.056242606,0.0
2022-11-23,9605953.056242606,0.0
2022-11-24,9605953.056242606,0.0
2022-11-25,9605953.056242606,0.0
2022-11-26,9605953.056242606,0.0
2022-11-27,9605953.056242606,0.0
2022-11-28,9605953.056242606,0.0
2022-11-29,9605953.056242606,0.0
2022-11-30,9605953.056242606,0.0
2022-12-01,9605953.056242606,0.0
2022-12-02,9605953.056242606,0.0
2022-12-03,9605953.056242606,0.0
2022-12-04,9605953.056242606,0.0
2022-12-05,9605953.056242606,0.0
2022-12-06,9605953.056242606,0.0
2022-12-07,9605953.056242606,0.0
2022-12-08,9605953.056242606,0.0
2022-12-09,9605953.056242606,0.0
2022-12-10,9605953.056242606,0.0
2022-12-11,9605953.056242606,0.0
2022-12-12,9605953.056242606,0.0
2022-12-13,9605953.056242606,0.0
2022-12-14,9605953.056242606,0.0
2022-12-15,9605953.056242606,0.0
2022-12-16,9605953.056242606,0.0
2022-12-17,9605953.056242606,0.0
2022-12-18,9605953.056242606,0.0
2022-12-19,9605953.056242606,0.0
2022-12-20,9605953.056242606,0.0
2022-12-21,9605953.056242606,0.0
2022-12-22,9605953.056242606,0.0
2022-12-23,9605953.056242606,0.0
2022-12-24,9605953.056242606,0.0
2022-12-25,9605953.056242606,0.0
2022-12-26,9605953.056242606,0.0
2022-12-27,9605953.056242606,0.0
2022-12-28,9605953.056242606,0.0
2022-12-29,9605953.056242606,0.0
2022-12-30,9605953.056242606,0.0
2022-12-31,9605953.056242606,0.0
2023-01-01,9605953.056242606,0.0
2023-01-02,9605953.056242606,0.0
2023-01-03,9605953.056242606,0.0
2023-01-04,9605953.056242606,0.0
2023-01-05,9605953.056242606,0.0
2023-01-06,9605953.056242606,0.0
2023-01-07,9605953.056242606,0.0
2023-01-08,9605953.056242606,0.0
2023-01-09,9605953.056242606,0.0
2023-01-10,9605953.056242606,0.0
2023-01-11,9605953.056242606,0.0
2023-01-12,9605953.056242606,0.0
2023-01-13,9605953.056242606,0.0
2023-01-14,9605953.056242606,0.0
2023-01-15,9605953.056242606,0.0
2023-01-16,9605953.056242606,0.0
2023-01-17,9605953.056242606,0.0
2023-01-18,9605953.056242606,0.0
2023-01-19,9605953.056242606,0.0
2023-01-20,9605953.056242606,0.0
2023-01-21,9605953.056242606,0.0
2023-01-22,9605953.056242606,0.0
2023-01-23,9605953.056242606,0.0
2023-01-24,9481153.035701608,-0.012991945703908492
2023-01-25,9682780.693972161,0.021266153759075257
2023-01-26,9647144.58094682,-0.003680359408276823
2023-01-27,9666390.961534193,0.0019950339114211957
2023-01-28,9646437.781404698,-0.0020641809553219037
2023-01-29,9957838.607450936,0.03228143207915779
2023-01-30,9566458.995716518,-0.03930367092328335
2023-01-31,9691753.939548006,0.013097316769725476
2023-02-01,9936562.632345041,0.025259482888651652
2023-02-02,9831056.439582903,-0.01061797692681965
2023-02-03,9821611.994312309,-0.0009606745041731424
2023-02-04,9772408.438687334,-0.005009723012217249
2023-02-05,9614846.950480966,-0.016123096900310552
2023-02-06,9532939.191042414,-0.008518883333286431
2023-02-07,9744112.733406734,0.0221519867201867
2023-02-08,9608033.370172715,-0.013965290320121615
2023-02-09,9138777.374165917,-0.04883996317743455
2023-02-10,9068472.089155499,-0.007693073387383453
2023-02-11,9160488.554545434,0.010146854341645195
2023-02-12,9125861.921421688,-0.003779998514005456
2023-02-13,9134196.266022537,0.0009132665684197239
2023-02-14,9307054.565152666,0.018924303145655852
2023-02-15,10181197.897476647,0.09392266116037784
2023-02-16,9894554.688725274,-0.028154173176656916
2023-02-17,10289159.073370622,0.03988096453648349
2023-02-18,10320855.433392655,0.0030805588480078416
2023-02-19,10189491.339326216,-0.01272802384591265
2023-02-20,10399544.146305459,0.02061465091672887
2023-02-21,10235024.282051308,-0.01581991113645087
2023-02-22,10131356.258931702,-0.010128752044233469
2023-02-23,10030267.563307822,-0.009977804850635041
2023-02-24,9716400.301359389,-0.031292012896705246
2023-02-25,9706870.778366134,-0.0009807668166905703
2023-02-26,9868476.730619084,0.01664861477430235
